Name,Team,Number,Position,Age,Nage,Height,Weight,College,Salary
Avery Bradley,Boston Celtics,0,PG,25,25,06-Feb,180,Texas,7730337.0
Jae Crowder,Boston Celtics,99,SF,25,25,06-Jun,235,Marquette,6796117.0
John Holland,Boston Celtics,30,SG,27,27,06-May,205,Boston University,
R.J. Hunter,Boston Celtics,28,SG,22,22,06-May,185,Georgia State,1148640.0
Jonas Jerebko,Boston Celtics,8,PF,29,29,06-Oct,231,,5000000.0
Amir Johnson,Boston Celtics,90,PF,29,29,06-Sep,240,,12000000.0
Jordan Mickey,Boston Celtics,55,PF,21,21,06-Aug,235,LSU,1170960.0
Kelly Olynyk,Boston Celtics,41,C,25,25,7-0,238,Gonzaga,2165160.0
Terry Rozier,Boston Celtics,12,PG,22,22,06-Feb,190,Louisville,1824360.0
Marcus Smart,Boston Celtics,36,PG,22,22,06-Apr,220,Oklahoma State,3431040.0
Jared Sullinger,Boston Celtics,7,C,24,24,06-Sep,260,Ohio State,2569260.0
Isaiah Thomas,Boston Celtics,4,PG,27,27,05-Sep,185,Washington,6912869.0
Evan Turner,Boston Celtics,11,SG,27,27,06-Jul,220,Ohio State,3425510.0
James Young,Boston Celtics,13,SG,20,20,06-Jun,215,Kentucky,1749840.0
Tyler Zeller,Boston Celtics,44,C,26,26,7-0,253,North Carolina,2616975.0
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,27,06-Aug,216,,3425510.0
Markel Brown,Brooklyn Nets,22,SG,24,24,06-Mar,190,Oklahoma State,845059.0
Wayne Ellington,Brooklyn Nets,21,SG,28,28,06-Apr,200,North Carolina,1500000.0
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,21,06-Jul,220,Arizona,1335480.0
Jarrett Jack,Brooklyn Nets,2,PG,32,32,06-Mar,200,Georgia Tech,6300000.0
Sergey Karasev,Brooklyn Nets,10,SG,22,22,06-Jul,208,,1599840.0
Sean Kilpatrick,Brooklyn Nets,6,SG,26,26,06-Apr,219,Cincinnati,134215.0
Shane Larkin,Brooklyn Nets,0,PG,23,23,05-Nov,175,Miami (FL),1500000.0
Brook Lopez,Brooklyn Nets,11,C,28,28,7-0,275,Stanford,19689000.0
Chris McCullough,Brooklyn Nets,1,PF,21,21,06-Nov,200,Syracuse,1140240.0
Willie Reed,Brooklyn Nets,33,PF,26,26,06-Oct,220,Saint Louis,947276.0
Thomas Robinson,Brooklyn Nets,41,PF,25,25,06-Oct,237,Kansas,981348.0
Henry Sims,Brooklyn Nets,14,C,26,26,06-Oct,248,Georgetown,947276.0
Donald Sloan,Brooklyn Nets,15,PG,28,28,06-Mar,205,Texas A&M,947276.0
Thaddeus Young,Brooklyn Nets,30,PF,27,27,06-Aug,221,Georgia Tech,11235955.0
Arron Afflalo,New York Knicks,4,SG,30,30,06-May,210,UCLA,8000000.0
Lou Amundson,New York Knicks,17,PF,33,33,06-Sep,220,UNLV,1635476.0
Thanasis Antetokounmpo,New York Knicks,43,SF,23,23,06-Jul,205,,30888.0
Carmelo Anthony,New York Knicks,7,SF,32,32,06-Aug,240,Syracuse,22875000.0
Jose Calderon,New York Knicks,3,PG,34,34,06-Mar,200,,7402812.0
Cleanthony Early,New York Knicks,11,SF,25,25,06-Aug,210,Wichita State,845059.0
Langston Galloway,New York Knicks,2,SG,24,24,06-Feb,200,Saint Joseph's,845059.0
Jerian Grant,New York Knicks,13,PG,23,23,06-Apr,195,Notre Dame,1572360.0
Robin Lopez,New York Knicks,8,C,28,28,7-0,255,Stanford,12650000.0
Kyle O'Quinn,New York Knicks,9,PF,26,26,06-Oct,250,Norfolk State,3750000.0
Kristaps Porzingis,New York Knicks,6,PF,20,20,07-Mar,240,,4131720.0
Kevin Seraphin,New York Knicks,1,C,26,26,06-Oct,278,,2814000.0
Lance Thomas,New York Knicks,42,SF,28,28,06-Aug,235,Duke,1636842.0
Sasha Vujacic,New York Knicks,18,SG,32,32,06-Jul,195,,947276.0
Derrick Williams,New York Knicks,23,PF,25,25,06-Aug,240,Arizona,4000000.0
Tony Wroten,New York Knicks,5,SG,23,23,06-Jun,205,Washington,167406.0
Elton Brand,Philadelphia 76ers,42,PF,37,37,06-Sep,254,Duke,
Isaiah Canaan,Philadelphia 76ers,0,PG,25,25,6-0,201,Murray State,947276.0
Robert Covington,Philadelphia 76ers,33,SF,25,25,06-Sep,215,Tennessee State,1000000.0
Joel Embiid,Philadelphia 76ers,21,C,22,22,7-0,250,Kansas,4626960.0
Jerami Grant,Philadelphia 76ers,39,SF,22,22,06-Aug,210,Syracuse,845059.0
Richaun Holmes,Philadelphia 76ers,22,PF,22,22,06-Oct,245,Bowling Green,1074169.0
Carl Landry,Philadelphia 76ers,7,PF,32,32,06-Sep,248,Purdue,6500000.0
Kendall Marshall,Philadelphia 76ers,5,PG,24,24,06-Apr,200,North Carolina,2144772.0
T.J. McConnell,Philadelphia 76ers,12,PG,24,24,06-Feb,200,Arizona,525093.0
Nerlens Noel,Philadelphia 76ers,4,PF,22,22,06-Nov,228,Kentucky,3457800.0
Jahlil Okafor,Philadelphia 76ers,8,C,20,20,06-Nov,275,Duke,4582680.0
Ish Smith,Philadelphia 76ers,1,PG,27,27,6-0,175,Wake Forest,947276.0
Nik Stauskas,Philadelphia 76ers,11,SG,22,22,06-Jun,205,Michigan,2869440.0
Hollis Thompson,Philadelphia 76ers,31,SG,25,25,06-Aug,206,Georgetown,947276.0
Christian Wood,Philadelphia 76ers,35,PF,20,20,06-Nov,220,UNLV,525093.0
Bismack Biyombo,Toronto Raptors,8,C,23,23,06-Sep,245,,2814000.0
Bruno Caboclo,Toronto Raptors,20,SF,20,20,06-Sep,205,,1524000.0
DeMarre Carroll,Toronto Raptors,5,SF,29,29,06-Aug,212,Missouri,13600000.0
DeMar DeRozan,Toronto Raptors,10,SG,26,26,06-Jul,220,USC,10050000.0
James Johnson,Toronto Raptors,3,PF,29,29,06-Sep,250,Wake Forest,2500000.0
